127799|Loan|5000.00|5000.00|1746620586|0|
127799|Loan Payment|10000.00|0.00|1746620566|0|
127799|Deposit|10000.00|10000.00|1746620557|0|
127799|Balance Check|0.00|0.00|1746620540|0|
122082|Loan Payment|6000.00|14000.00|1746619200|0|
122082|Balance Check|0.00|20000.00|1746619172|0|
122082|Loan|10000.00|10000.00|1746618698|0|
116520|Account Creation|0.00|0.00|1746616011|0|
120867|Transfer In|300.00|1500.00|1745223385|122082|Vince2 Skibi
122082|Transfer Out|300.00|500.00|1745223385|120867|Vince Bernante
122082|Transfer In|500.00|500.00|1745222969|120867|Vince Bernante
120867|Transfer Out|500.00|1500.00|1745222969|122082|Vince2 Skibi
122082|Account Creation|0.00|0.00|1745222927|0|
120867|Account Creation|0.00|0.00|1745222563|0|
120867|Withdrawal|500.00|2000.00|1745222845|0|
120867|Transfer Out|300.00|1200.00|1745223216|122082|Vince2 Skibi
122082|Transfer In|300.00|800.00|1745223216|120867|Vince Bernante
120867|Balance Check|0.00|1200.00|1745223227|0|
122082|Deposit|5000.00|5500.00|1746615874|0|
122082|Withdrawal|500.00|5000.00|1746615888|0|
122082|Transfer Out|1000.00|4000.00|1746615946|120867|Vince Bernante
120867|Transfer In|1000.00|2500.00|1746615946|122082|Vince2 Skibi
120867|Balance Check|0.00|2500.00|1746615967|0|
122082|Loan|10000.00|14000.00|1746618191|0|
122082|Loan Payment|10000.00|4000.00|1746618250|0|
122082|Loan Payment|3000.00|1000.00|1746618273|0|
122082|Loan|9000.00|10000.00|1746618292|0|
122082|Loan Payment|10000.00|0.00|1746618364|0|
122082|Deposit|1000.00|1000.00|1746618402|0|
122082|Loan Payment|1000.00|0.00|1746618421|0|
122082|Balance Check|0.00|0.00|1746618520|0|
122082|Deposit|1000.00|1000.00|1746618537|0|
122082|Loan|10000.00|11000.00|1746618544|0|
122082|Balance Check|0.00|11000.00|1746618547|0|
122082|Deposit|1000.00|12000.00|1746618584|0|
122082|Balance Check|0.00|12000.00|1746618595|0|
122082|Deposit|1000.00|13000.00|1746618601|0|
122082|Loan Payment|13000.00|0.00|1746618607|0|
122082|Balance Check|0.00|0.00|1746618615|0|
122082|Balance Check|0.00|10000.00|1746618741|0|
122082|Loan|5000.00|15000.00|1746618750|0|
122082|Balance Check|0.00|15000.00|1746618758|0|
122082|Loan|5000.00|20000.00|1746619129|0|
127799|Account Creation|0.00|0.00|1746619569|0|
